WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
12/07/2024,North America,Canada,Alberta,Protests,Peaceful protest,7,0,30523,Demonstrations,485,54.498,-115.0035
12/14/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,32797,Demonstrations,485,54.498,-115.0035
12/28/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
01/04/2025,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7725,Demonstrations,485,54.498,-115.0035
01/11/2025,North America,Canada,Alberta,Protests,Peaceful protest,7,0,33559,Demonstrations,485,54.498,-115.0035
01/18/2025,North America,Canada,Alberta,Protests,Peaceful protest,5,0,27635,Demonstrations,485,54.498,-115.0035
01/25/2025,North America,Canada,Alberta,Protests,Peaceful protest,7,0,41491,Demonstrations,485,54.498,-115.0035
02/01/2025,North America,Canada,Alberta,Protests,Peaceful protest,14,0,46913,Demonstrations,485,54.498,-115.0035
02/08/2025,North America,Canada,Alberta,Protests,Peaceful protest,8,0,43481,Demonstrations,485,54.498,-115.0035
02/15/2025,North America,Canada,Alberta,Protests,Peaceful protest,5,0,41863,Demonstrations,485,54.498,-115.0035
02/22/2025,North America,Canada,Alberta,Protests,Peaceful protest,11,0,38522,Demonstrations,485,54.498,-115.0035
03/01/2025,North America,Canada,Alberta,Protests,Peaceful protest,9,0,38553,Demonstrations,485,54.498,-115.0035
03/15/2025,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
03/22/2025,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
03/29/2025,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
05/03/2025,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
05/10/2025,North America,Canada,Alberta,Protests,Peaceful protest,5,0,36394,Demonstrations,485,54.498,-115.0035
